#  l   n        freq     error
#             muHz        muHz
   42   13   3401.8804   0.0117
   42   14   3567.8721   0.0166
   42   15   3731.3468   0.0218
   42   16   3892.6068   0.0306
   42   17   4052.3373   0.0433
   42   18   4210.8499   0.0599
   43   1   1041.7065   0.0023
   43   2   1326.7365   0.0024
   43   3   1571.8093   0.0032
   43   4   1787.0225   0.0048
   43   5   1989.0319   0.0062
   43   6   2184.8281   0.0071
   43   7   2372.1887   0.0079
   43   8   2553.2731   0.0083
   43   9   2732.3209   0.0075
   43   10   2909.5492   0.0071
   43   11   3083.8869   0.0076
   43   12   3255.5373   0.0096
   43   13   3425.0043   0.0123
   43   14   3592.2174   0.0174
   43   15   3756.9237   0.0230
   43   16   3919.2746   0.0322
   43   17   4079.7953   0.0456
   43   18   4238.9363   0.0642
   44   1   1051.9310   0.0023
   44   2   1339.0808   0.0021
   44   3   1585.2086   0.0033
   44   4   1801.2430   0.0049
   44   5   2004.5832   0.0059
   44   6   2201.4255   0.0070
   44   7   2389.4069   0.0080
   44   8   2571.4059   0.0084
   44   9   2751.4779   0.0074
   44   10   2929.5632   0.0069
   44   11   3104.6937   0.0077
   44   12   3277.2377   0.0096
   44   13   3447.8052   0.0126
   44   14   3616.2070   0.0176
   44   15   3782.0929   0.0244
   44   16   3945.4551   0.0348
   44   17   4106.9028   0.0492
   45   1   1062.0246   0.0016
