model	mass	radius	log_g	logTeff	logL	age	Y	Z	feh	al	Y_c	Z_c
0129	1.6000E+00	3.3018E+00	3.6043E+00	3.7742E+00	1.0877E+00	2.0208E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0130	1.6000E+00	3.3055E+00	3.6033E+00	3.7735E+00	1.0861E+00	2.0212E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0131	1.6000E+00	3.3093E+00	3.6023E+00	3.7729E+00	1.0845E+00	2.0216E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0132	1.6000E+00	3.3130E+00	3.6014E+00	3.7723E+00	1.0829E+00	2.0220E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0133	1.6000E+00	3.3165E+00	3.6004E+00	3.7716E+00	1.0812E+00	2.0224E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0134	1.6000E+00	3.3200E+00	3.5995E+00	3.7709E+00	1.0794E+00	2.0228E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0135	1.6000E+00	3.3235E+00	3.5986E+00	3.7702E+00	1.0776E+00	2.0232E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0136	1.6000E+00	3.3268E+00	3.5978E+00	3.7696E+00	1.0757E+00	2.0236E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0137	1.6000E+00	3.3299E+00	3.5970E+00	3.7689E+00	1.0738E+00	2.0240E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0138	1.6000E+00	3.3330E+00	3.5962E+00	3.7681E+00	1.0717E+00	2.0244E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0139	1.6000E+00	3.3360E+00	3.5954E+00	3.7674E+00	1.0696E+00	2.0248E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0140	1.6000E+00	3.3388E+00	3.5946E+00	3.7667E+00	1.0675E+00	2.0252E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0141	1.6000E+00	3.3415E+00	3.5939E+00	3.7660E+00	1.0652E+00	2.0256E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0142	1.6000E+00	3.3441E+00	3.5933E+00	3.7652E+00	1.0629E+00	2.0260E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0143	1.6000E+00	3.3465E+00	3.5926E+00	3.7645E+00	1.0605E+00	2.0264E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0144	1.6000E+00	3.3487E+00	3.5921E+00	3.7637E+00	1.0580E+00	2.0268E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0145	1.6000E+00	3.3507E+00	3.5915E+00	3.7629E+00	1.0554E+00	2.0272E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0146	1.6000E+00	3.3526E+00	3.5911E+00	3.7621E+00	1.0528E+00	2.0276E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0147	1.6000E+00	3.3543E+00	3.5906E+00	3.7613E+00	1.0500E+00	2.0280E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0148	1.6000E+00	3.3557E+00	3.5902E+00	3.7605E+00	1.0472E+00	2.0284E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0149	1.6000E+00	3.3571E+00	3.5899E+00	3.7597E+00	1.0443E+00	2.0288E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0150	1.6000E+00	3.3583E+00	3.5896E+00	3.7589E+00	1.0413E+00	2.0292E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0151	1.6000E+00	3.3592E+00	3.5893E+00	3.7580E+00	1.0382E+00	2.0296E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0152	1.6000E+00	3.3599E+00	3.5892E+00	3.7572E+00	1.0350E+00	2.0300E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0153	1.6000E+00	3.3604E+00	3.5890E+00	3.7564E+00	1.0317E+00	2.0304E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0154	1.6000E+00	3.3607E+00	3.5890E+00	3.7555E+00	1.0283E+00	2.0308E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0155	1.6000E+00	3.3607E+00	3.5889E+00	3.7546E+00	1.0249E+00	2.0312E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0156	1.6000E+00	3.3606E+00	3.5890E+00	3.7538E+00	1.0213E+00	2.0316E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0157	1.6000E+00	3.3602E+00	3.5891E+00	3.7529E+00	1.0177E+00	2.0320E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0158	1.6000E+00	3.3595E+00	3.5893E+00	3.7520E+00	1.0139E+00	2.0324E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0159	1.6000E+00	3.3586E+00	3.5895E+00	3.7511E+00	1.0101E+00	2.0328E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0160	1.6000E+00	3.3575E+00	3.5898E+00	3.7502E+00	1.0062E+00	2.0332E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0161	1.6000E+00	3.3562E+00	3.5901E+00	3.7492E+00	1.0022E+00	2.0336E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0162	1.6000E+00	3.3548E+00	3.5905E+00	3.7483E+00	9.9811E-01	2.0340E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
0163	1.6000E+00	3.3532E+00	3.5909E+00	3.7474E+00	9.9398E-01	2.0344E+00	2.7027E-01	0.016	0.0000	1.6900	0.9836	0.0164	
